Temp,Trial,Rep,Diameter (cm),
11,1,1,0.0,
11,1,2,0.0,
11,1,3,0.0,
11,1,4,0.0,
15,1,1,3.1,
15,1,2,3.7,
15,1,3,3.4,
15,1,4,3.1,
19,1,1,4.6,
19,1,2,4.5,
19,1,3,4.6,
19,1,4,4.8,
23,1,1,5.9,
23,1,2,5.9,
23,1,3,5.8,
23,1,4,6.2,
25,1,1,7.2,
25,1,2,6.9,
25,1,3,7.0,
25,1,4,6.9,
27,1,1,5.7,
27,1,2,5.6,
27,1,3,5.9,
27,1,4,6.2,
31,1,1,0.0,
31,1,2,0.0,
31,1,3,0.0,
31,1,4,0.0,
11,2,1,0.0,
11,2,2,0.0,
11,2,3,0.0,
11,2,4,0.0,
15,2,1,3.3,
15,2,2,3.3,
15,2,3,3.8,
15,2,4,3.7,
19,2,1,4.5,
19,2,2,4.8,
19,2,3,4.9,
19,2,4,4.6,
23,2,1,6.2,
23,2,2,6.1,
23,2,3,6.3,
23,2,4,6.0,
25,2,1,6.9,
25,2,2,6.9,
25,2,3,7.0,
25,2,4,7.0,
27,2,1,5.5,
27,2,2,6.0,
27,2,3,6.1,
27,2,4,6.0,
31,2,1,0.0,
31,2,2,0.0,
31,2,3,0.0,
31,2,4,0.0,